2021-08-21 16:45:11.0232|ERROR|Microsoft.EntityFrameworkCore.Database.Command|Failed executing DbCommand (12ms) [Parameters=[], CommandType='Text', CommandTimeout='30']
ALTER TABLE [LoadBreakSwitches] ADD [SubstationId] int NULL;
2021-08-21 17:00:34.0307|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down.
2021-08-21 17:00:34.2358|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development
2021-08-21 17:00:34.3153|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Sladjana\Desktop\Diplomski\Backend\Web
2021-08-21 17:02:37.2141|ERROR|Microsoft.AspNetCore.Diagnostics.ExceptionHandlerMiddleware|An unhandled exception has occurred while executing the request.
2021-08-21 17:02:39.7146|ERROR|allfile|Something went wrong: Substation with mrid='SUB2' or name='SubstationName3' already exists, 409
2021-08-21 17:13:39.6040|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down.
2021-08-21 17:13:39.7090|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development
2021-08-21 17:13:39.7264|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Sladjana\Desktop\Diplomski\Backend\Web
2021-08-21 21:17:17.4529|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down.
2021-08-21 21:17:17.5219|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development
2021-08-21 21:17:17.5310|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Sladjana\Desktop\Diplomski\Backend\Web
2021-08-21 22:06:20.5766|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down.
2021-08-21 22:06:20.6510|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development
2021-08-21 22:06:20.6795|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Sladjana\Desktop\Diplomski\Backend\Web
2021-08-21 22:09:15.7797|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down.
2021-08-21 22:09:15.8302|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development
2021-08-21 22:09:15.8408|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Sladjana\Desktop\Diplomski\Backend\Web
2021-08-21 22:38:35.2754|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down.
2021-08-21 22:38:35.3641|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development
2021-08-21 22:38:35.3759|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Sladjana\Desktop\Diplomski\Backend\Web
2021-08-21 23:06:31.3758|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down.
2021-08-21 23:06:31.5371|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development
2021-08-21 23:06:31.5447|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Sladjana\Desktop\Diplomski\Backend\Web
2021-08-21 23:06:48.0130|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down.
2021-08-21 23:06:48.1079|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development
2021-08-21 23:06:48.1196|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Sladjana\Desktop\Diplomski\Backend\Web
